Animal,NRS_variance,Total_Facial_variance,NRS_mean,Total_Facial_mean,M0_M2_difference,Completeness_%
14,15.57777777777778,6.722222222222221,5.2666666666666675,4.666666666666666,7.333333333333333,100.0
6,11.088888888888889,6.08888888888889,4.466666666666667,5.133333333333334,7.666666666666666,100.0
19,8.922222222222222,2.800000000000001,3.8,4.7333333333333325,6.666666666666667,94.0
2,8.299999999999999,15.244444444444442,3.6,4.933333333333333,6.333333333333333,100.0
20,7.922222222222222,6.888888888888889,3.5333333333333337,5.333333333333334,6.0,100.0
24,6.333333333333334,3.188888888888888,2.6666666666666665,2.7333333333333334,6.0,100.0
22,6.2555555555555555,1.5777777777777777,3.5333333333333337,3.7333333333333334,5.666666666666667,100.0
3,5.977777777777778,3.2777777777777772,3.4666666666666663,3.6666666666666665,5.666666666666667,100.0
7,5.9111111111111105,7.144444444444445,2.933333333333333,3.2,5.333333333333333,100.0
11,5.588888888888889,4.188888888888888,3.4666666666666663,4.6,5.333333333333333,100.0
4,5.388888888888889,4.144444444444444,3.0000000000000004,3.8,5.666666666666667,100.0
8,5.2555555555555555,2.7555555555555564,2.8666666666666663,3.8666666666666663,5.333333333333333,100.0
15,5.055555555555555,2.7,3.3333333333333335,2.466666666666667,5.0,100.0
21,4.855555555555555,2.688888888888888,2.7333333333333334,3.6,5.0,100.0
18,4.5888888888888895,5.388888888888888,2.466666666666667,3.0,5.0,100.0
12,3.7444444444444454,0.9777777777777777,2.7333333333333334,2.2,4.666666666666667,100.0
9,3.666666666666667,1.7777777777777775,2.666666666666667,2.333333333333333,4.666666666666667,100.0
16,2.522222222222223,0.4814814814814815,1.9333333333333336,1.111111111111111,3.666666666666667,68.0
1,1.4111111111111114,1.1333333333333333,2.066666666666667,1.9,2.3333333333333335,100.0
17,0.4666666666666666,0.688888888888889,1.6,1.6,1.6666666666666665,100.0
