Target,RMSE,MAE,R2
Total Scale (Calculated),1.977572759647315,1.6063907146453857,0.142181396484375
Total Scale (Direct Head),2.000086901684107,1.6538028717041016,0.12253808975219727
Orbital_tightening,0.5026546874539342,0.40690600872039795,-0.03990912437438965
Tension_above_eyes,0.4367144036801818,0.3622607886791229,-0.010896563529968262
Cheek_tightening,0.33207884054762454,0.26015034317970276,-0.17283236980438232
Ears_frontal,0.4532175791644478,0.3887062072753906,-0.11460518836975098
Ears_lateral,0.4938091628929081,0.4032190144062042,0.0021468400955200195
Lip_jaw_profile,0.34113503820020197,0.28064244985580444,0.15698844194412231
Nostril_muzzle,0.3699980773102576,0.30021655559539795,-0.028194308280944824
